author_id,created_at,text,tokens,filtered_tokens,stemmed_text,term,cluster
boyan,2025-04-11T03:11:04.000Z,ngomongin siber sama gen. analog emg dagelan >> #KABURAJADULU | KOMUNIKASI BURUK & PEMIKIRAN ANALOG PEMERINTAH BIKIN RESAH https://youtu.be/ndv9c2HzVmM?si=wGiwnfKEj_cn3lhr… via  @YouTube,"ngomongin, siber, sama, gen., analog, emg, dagelan, >, >, #, KABURAJADULU, |, KOMUNIKASI, BURUK, &, PEMIKIRAN, ANALOG, PEMERINTAH, BIKIN, RESAH, https, :, //youtu.be/ndv9c2HzVmM, ?, si=wGiwnfKEj_cn3lhr…, via, @, YouTube","ngomongin, siber, gen., analog, emg, dagelan, >, >, #, KABURAJADULU, |, KOMUNIKASI, BURUK, &, PEMIKIRAN, ANALOG, PEMERINTAH, BIKIN, RESAH, https, :, //youtu.be/ndv9c2HzVmM, ?, si=wGiwnfKEj_cn3lhr…, via, @, YouTube",ngomongin siber sama gen analog emg dagel kaburajadulu komunikasi buruk pikir analog perintah bikin resah https youtu be ndv9c2hzvmm si wgiwnfkej cn3lhr via youtube,"ngomongin,siber,sama,gen,analog,emg,dagel,kaburajadulu,komunikasi,buruk,pikir,analog,perintah,bikin,resah,https,youtu,be,ndv9c2hzvmm,si,wgiwnfkej,cn3lhr,via,youtube",0
Aamediketu,2025-04-11T03:06:59.000Z,Kaburajadulu,Kaburajadulu,Kaburajadulu,kaburajadulu,kaburajadulu,1
sedihmawat45830,2025-04-11T02:53:53.000Z,XM8 Killstreak Party #kaburajadulu #partaikorupsi,"XM8, Killstreak, Party, #, kaburajadulu, #, partaikorupsi","XM8, Killstreak, Party, #, kaburajadulu, #, partaikorupsi",xm8 killstreak party kaburajadulu partaikorupsi,"xm8,killstreak,party,kaburajadulu,partaikorupsi",1
Yangterdalamm,2025-04-11T02:50:01.000Z,info #kaburajadulu suram bgt tinggal di indo,"info, #, kaburajadulu, suram, bgt, tinggal, di, indo","info, #, kaburajadulu, suram, bgt, tinggal, indo",info kaburajadulu suram bgt tinggal di indo,"info,kaburajadulu,suram,bgt,tinggal,di,indo",0
truthspace_,2025-04-11T01:01:16.000Z,"Bukan hanya di indo ya sulit cari kerja. SELURUH DUNIA.  Kalau  imigran  #KaburAjaDulu mah dimudahin cari kerja disana, warga aslinya malah dibikin sulit  @wannafigh","Bukan, hanya, di, indo, ya, sulit, cari, kerja, ., SELURUH, DUNIA, ., Kalau, imigran, #, KaburAjaDulu, mah, dimudahin, cari, kerja, disana, ,, warga, aslinya, malah, dibikin, sulit, @, wannafigh","indo, ya, sulit, cari, kerja, ., DUNIA, ., imigran, #, KaburAjaDulu, mah, dimudahin, cari, kerja, disana, ,, warga, aslinya, dibikin, sulit, @, wannafigh",bukan hanya di indo ya sulit cari kerja seluruh dunia kalau imigran kaburajadulu mah dimudahin cari kerja sana warga asli malah bikin sulit wannafigh,"bukan,hanya,di,indo,ya,sulit,cari,kerja,seluruh,dunia,kalau,imigran,kaburajadulu,mah,dimudahin,cari,kerja,sana,warga,asli,malah,bikin,sulit,wannafigh",0
Faldylouis_,2025-04-11T00:50:46.000Z,Udah bang udah jangan di ulti hahahaha. Alesannya kalo gasalah karna dia dituduh makanya mending #kaburajadulu,"Udah, bang, udah, jangan, di, ulti, hahahaha, ., Alesannya, kalo, gasalah, karna, dia, dituduh, makanya, mending, #, kaburajadulu","Udah, bang, udah, ulti, hahahaha, ., Alesannya, kalo, gasalah, karna, dituduh, mending, #, kaburajadulu",udah bang udah jangan di ulti hahahaha alesannya kalo gasalah karna dia tuduh makanya mending kaburajadulu,"udah,bang,udah,jangan,di,ulti,hahahaha,alesannya,kalo,gasalah,karna,dia,tuduh,makanya,mending,kaburajadulu",0
orreboss,2025-04-11T00:21:32.000Z,#KaburAjaDulu adalah fase & step terakhirku untuk berkembang & berkarir di negeri orang u/ menjadi lebih baik lagi & pengen segera bantu orang tua dan orang2 yg suka nolong aq secara pribadi.,"#, KaburAjaDulu, adalah, fase, &, step, terakhirku, untuk, berkembang, &, berkarir, di, negeri, orang, u/, menjadi, lebih, baik, lagi, &, pengen, segera, bantu, orang, tua, dan, orang2, yg, suka, nolong, aq, secara, pribadi, .","#, KaburAjaDulu, fase, &, step, terakhirku, berkembang, &, berkarir, negeri, orang, u/, &, pengen, bantu, orang, tua, orang2, yg, suka, nolong, aq, pribadi, .",kaburajadulu adalah fase step akhir untuk kembang berkarir di negeri orang u jadi lebih baik lagi ken segera bantu orang tua dan orang2 yg suka nolong aq cara pribadi,"kaburajadulu,adalah,fase,step,akhir,untuk,kembang,berkarir,di,negeri,orang,u,jadi,lebih,baik,lagi,ken,segera,bantu,orang,tua,dan,orang2,yg,suka,nolong,aq,cara,pribadi",0
roy1alien,2025-04-11T00:18:18.000Z,Maksudnya tadi malam saya bermimpi #KaburAjaDulu keluar negeri,"Maksudnya, tadi, malam, saya, bermimpi, #, KaburAjaDulu, keluar, negeri","Maksudnya, malam, bermimpi, #, KaburAjaDulu, negeri",maksud tadi malam saya mimpi kaburajadulu keluar negeri,"maksud,tadi,malam,saya,mimpi,kaburajadulu,keluar,negeri",1
d6yepposo,2025-04-11T00:10:36.000Z,"sender aku gabisa kasih masukan terkait karir karna belum berpengalaman, tapi kalau keinginan #kaburajadulu udah sekuat itu pasti ga bimbang, saran aku emang stay dulu sambil siapin hal yg lain buat #kaburajadulu biar kedepan kalo ada offer lain udah beneran mateng dan siap","sender, aku, gabisa, kasih, masukan, terkait, karir, karna, belum, berpengalaman, ,, tapi, kalau, keinginan, #, kaburajadulu, udah, sekuat, itu, pasti, ga, bimbang, ,, saran, aku, emang, stay, dulu, sambil, siapin, hal, yg, lain, buat, #, kaburajadulu, biar, kedepan, kalo, ada, offer, lain, udah, beneran, mateng, dan, siap","sender, gabisa, kasih, masukan, terkait, karir, karna, berpengalaman, ,, #, kaburajadulu, udah, sekuat, ga, bimbang, ,, saran, emang, stay, siapin, yg, #, kaburajadulu, biar, kedepan, kalo, offer, udah, beneran, mateng",sender aku gabisa kasih masuk kait karir karna belum alam tapi kalau ingin kaburajadulu udah kuat itu pasti ga bimbang saran aku emang stay dulu sambil siapin hal yg lain buat kaburajadulu biar depan kalo ada offer lain udah beneran mateng dan siap,"sender,aku,gabisa,kasih,masuk,kait,karir,karna,belum,alam,tapi,kalau,ingin,kaburajadulu,udah,kuat,itu,pasti,ga,bimbang,saran,aku,emang,stay,dulu,sambil,siapin,hal,yg,lain,buat,kaburajadulu,biar,depan,kalo,ada,offer,lain,udah,beneran,mateng,dan,siap",0
EkoPurwanto001,2025-04-11T00:09:41.000Z,Alhamdulillah.. bisa sebagai opsi #KaburAjaDulu ya Pak? ,"Alhamdulillah, .., bisa, sebagai, opsi, #, KaburAjaDulu, ya, Pak, ?","Alhamdulillah, .., opsi, #, KaburAjaDulu, ya, ?",alhamdulillah bisa bagai opsi kaburajadulu ya pak,"alhamdulillah,bisa,bagai,opsi,kaburajadulu,ya,pak",1
